NR,OGGETTO,VETRINA,DIDASCALIA,STATO CORRENTE,LINK MOD,NOTE,ACQUISIZIONE,,,,,,,,,,,PROCESSAMENTO,,,,,MODELLAZIONE,,,,,OTTIMIZZAZIONE,,,,,ESPORTAZIONE,,,,,METADATAZIONE,,,,,CARICAMENTO SU ATON,,,,,,,,,,,,,,,,,,,
,,,,,,,Istituto responsabile acquisizione,Persone responsabili acquisizione,Tecnica di acquisizione,Strumentazione di acquisizione,Tempi di acquisizione,,,,,,,Istituto responsabile processamento,Persone responsabili processamento,Strumentazione di processamento,Tempi di processamento,,Istituto responsabile modellazione,Persone responsabili modellazione,Strumentazione di modellazione,Tempi di modellazione,,Istituto responsabile ottimizzazione,Persone responsabili ottimizzazione,Strumentazione di ottimizzazione,Tempi di ottimizzazione,,Istituto responsabile esportazione,Persone responsabili esportazione,Strumentazione di esportazione,Tempi di esportazione,,Istituto responsabile metadatazione,Persone responsabili metadatazione,Strumentazione di metadatazione,Tempi di metadatazione,,Istituto responsabile caricamento,Persone responsabili caricamento,Strumentazione di caricamento,Tempi di caricamento,,,,,,,,,,,,,,,,
,,,,,,,,,,,Aprile 23 o prima (specificare data mm-dd),17.04.23,08.05.23,15.05.23,22.05.23,29.05.23,Giugno 23 o dopo (specificare data mm-dd),,,,Data inizio (specificare data mm-dd),Data fine (specificare data mm-dd),,,,Data inizio (specificare data mm-dd),Data fine (specificare data mm-dd),,,,Data inizio (specificare data mm-dd),Data fine (specificare data mm-dd),,,,Data inizio (specificare data mm-dd),Data fine (specificare data mm-dd),,,,Data inizio (specificare data mm-dd),Data fine (specificare data mm-dd),,,,Data inizio (specificare data mm-dd),Data fine (specificare data mm-dd),,,,,,,,,,,,,,,
L1 ,Stampa Amerigo Vespucci in America , ,Amerigo Vespucci sveglia l’America ,,,"Nome ""lightbox 1 stradano""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grafica entrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pannelli,,,,,Colori da invertire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grafica Codice Cospi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grafica Mappa Benincasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ,"Pergamena, carta nautica ",map,Carta nautica ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20240111-fa5nvpg07,,CNR ISPC,Federica Bonifazi,Fotogrammetria,Nikon D7200 Nikor 50mm,,,X,,,,,CNR ISPC,Federica Bonifazi,3DF Zephyr,8-May,9-May,UNIBO FICLIT,Alice Bordignon,Blender,22/06/2023,24/06/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",5/7/2023,6/7/2023,UNIBO FICLIT,Alice Bordignon,Blender,6/7/2023,6/7/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",11/1/2024,11/1/2024,,,,,,,,,,,,,,,
2 ,Diorama 3 leoni ,taxidermy animals,"Panthera leo (Linnaeus, 1758)  ",5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20231116-t4106pkmw,,UNIBO DA,Mattia Sullini,Fotogrammetria,Sony Alpha 7 I,,,,,DA FARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",10/11/2023,10/11/2023,,,,,,,,,,,,,,,
V1 ,Video San Girolamo ,multimedia,San Girolamo nel suo studio ,,,,UNIBO DBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 ,Volume Aristotele ,volume,Aristoteles ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-9vj0k3ouy,,CNR ISPC,Laura Travaglini,Fotogrammetria,,,,,,,,,CNR ISPC,Laura Travaglini,3DF Zephyr,21-Apr,26-Apr,UNIBO FICLIT,Alice Bordignon,Blender,11/7/2023,11/7/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",12/7/2023,12/7/2023,UNIBO FICLIT,Alice Bordignon,Blender,12/7/2023,12/7/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",12/7/2023,12/7/2023,,,,,,,,,,,,,,,
4 ,Volume Teofrasto ,volume,Theophrastus ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-o3sk3ytsa,,CNR ISPC,Laura Travaglini,Fotogrammetria,,,X,,,,,,CNR ISPC,Laura Travaglini,Metashape,21-Apr,26-Apr,UNIBO FICLIT,Alice Bordignon,Blender,24/7/2023,24/7/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",24/7/2023,24/7/2023,UNIBO FICLIT,Alice Bordignon,Blender,26/7/2023,26/7/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",26/7/2023,26/7/2023,,,,,,,,,,,,,,,
5 ,Volume Medica Materia ,volume,Dioscorides Pedanius  ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-otyna5qs5,,CNR ISPC,Laura Travaglini,Fotogrammetria,,,X,,,,,,CNR ISPC,Laura Travaglini,3DF Zephyr,21-Apr,26-Apr,UNIBO FICLIT,Alice Bordignon,Blender,13/07/2023,13/07/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",14/07/2023,14/07/2023,UNIBO FICLIT,Alice Bordignon,Blender,14/07/2023,14/07/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",14/7/2023,14/7/2023,,,,,,,,,,,,,,,
6 ,Volume Naturae Historiarum ,volume,Plinius Secundus Gaius ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-6037tssbz,,CNR ISPC,Laura Travaglini,Fotogrammetria,,,x,,,,,,CNR ISPC,Laura Travaglini,3DF Zephyr,21-Apr,26-Apr,UNIBO FICLIT,Alice Bordignon,Blender,7/7/2023,7/7/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",10/7/2023,10/7/2023,UNIBO FICLIT,Alice Bordignon,Blender,11/7/2023,11/7/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",11/7/2023,11/7/2023,,,,,,,,,,,,,,,
7 ,Carta coste America ,map,Profilo incompleto delle coste del continente americano  ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-ia9cfb2eb,,CNR ISPC,Federica Bonifazi,Fotogrammetria,Nikon D7200 Nikor 35mm,3/4/2023,,,,,,,CNR ISPC,Federica Bonifazi,3DF Zephyr,5-Apr,7-Apr,UNIBO FICLIT,Alice Bordignon,Blender,20/7/2023,20/7/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",21/7/2023,24/7/2023,UNIBO FICLIT,Alice Bordignon,Blender,24/7/2023,24/7/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",24/7/2023,24/7/2023,,,,,,,,,,,,,,,
8 ,Volume pagina mappa di Cusco ,V3,Mappa di Cusco ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-1noow3l38,,CNR ISPC,Federica Bonifazi,Fotogrammetria,Nikon D7200 Nikor 35mm,3/4/2023,,,,,,,CNR ISPC,Federica Bonifazi,Metashape,5-Apr,7-Apr,UNIBO FICLIT,Alice Bordignon,Blender,27/7/2023,27/7/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",27/7/2023,27/7/2023,UNIBO FICLIT,Alice Bordignon,Blender,27/7/2023,27/7/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",27/7/2023,27/7/2023,,,,,,,,,,,,,,,
9 ,Volume De Orbo Novo ,V3,Pietro Martire d’Anghiera  ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-krza6s43x,,CNR ISPC,Federica Bonifazi,Fotogrammetria,Nikon D7200 Nikor 35mm,3/4/2023,,,,,,,CNR ISPC,Federica Bonifazi,3DF Zephyr,5-Apr,7-Apr,UNIBO FICLIT,Alice Bordignon,Blender,17/07/2023,17/07/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",17/07/2023,18/07/2023,UNIBO FICLIT,Alice Bordignon,Blender,18/07/2023,18/07/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",18/7/2023,18/7/2023,,,,,,,,,,,,,,,
10 ,Volume Historia naturae Indie ,V3,Josè de Acosta ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-6hdd0d91i,,CNR ISPC,Federica Bonifazi,Fotogrammetria,Nikon D7200 Nikor 35mm,3/4/2023,,,,,,,CNR ISPC,Federica Bonifazi,3DF Zephyr,5-Apr,7-Apr,UNIBO FICLIT,Alice Bordignon,Blender,18/07/2023,19/07/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",19/07/2023,19/07/2023,UNIBO FICLIT,Alice Bordignon,Blender,19/07/2023,19/07/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",19/7/2023,19/7/2023,,,,,,,,,,,,,,,
11,Volume pagina Tabacco ,V3,Tabacco  ,5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20230818-v287oms4a,,CNR ISPC,Federica Bonifazi,Fotogrammetria,Nikon D7200 Nikor 35mm,3/4/2023,,,,,,,CNR ISPC,Federica Bonifazi,3DF Zephyr,5-Apr,7-Apr,UNIBO FICLIT,Alice Bordignon,Blender,28/6/2023,28/6/2023,UNIBO FICLIT,Alice Bordignon,"Gimp, Blender, Instant Meshes",7/7/2023,7/7/2023,UNIBO FICLIT,Alice Bordignon,Blender,7/7/2023,7/7/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",7/7/2023,7/7/2023,,,,,,,,,,,,,,,
V2 ,Video allegorie ,multimedia,Giovanni Domenico Tiepolo ,,,,UNIBO DBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grafica parete video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 ,Giaguaro tassidermizzato , ,"Panthera onca (Linnaeus, 1758)  ",5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20231031-jqf4h4il9,,UNIBO DBC,Federica Collina,Scanner Artec,Scanner Eva,3/4/2023,,,,,,,UNIBO DBC,Federica Collina,Artec Studio 15,22/06/2023,22/06/2023,UNIBO DBC,Federica Collina,Artec Studio 15,22/06/2023,22/06/2023,UNIBO DBC,Federica Collina,"Artec Studio 15
Adobe Photoshop 23",22/06/2023,22/06/2023,UNIBO DBC,Federica Collina,"Artec Studio 15
Adobe Photoshop 23",22/06/2023,22/06/2023,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",2/8/2023,2/8/2023,,,,,,,,,,,,,,,
13 ,3 Quetzal tassidermizzati , ,"Pharomachrus mocinno (De la Llave, 1832)  ",5 - Esportato,https://aton.ispc.cnr.it/s/aldrovandi/20240201-szsapmta4,,CNR ISPC,Diego Ronchi,Fotogrammetria,,,,,,,,,UNIBO FICLIT,Alice Bordignon,Metashape,19/01/2024,22/01/2024,UNIBO FICLIT,Alice Bordignon,Blender,24/01/2024,30/01/2024,UNIBO FICLIT,Alice Bordignon,"Gimp, Metashape, Instant Meshes",30/01/2024,1/2/2024,UNIBO FICLIT,Alice Bordignon,Blender,1/2/2024,1/2/2024,,,,,,UNIBO FICLIT,Alice Bordignon,"Nextcloud, Aton",1/2/2024,1/2/2024,,,,,,,,,,,,,,,
